index,SMILES
6013,Cc1ccc(OC(=O)NC#Cc2ccccc2)c(N(C=O)c2cnc3ccccc3c2)c1
6022,O=C(O)Nc1nc2ccc(Br)cc2s1
6043,C=CC(CCCCCCC)OC(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
6061,Cc1ccc(OC(=O)NC#Cc2ccccc2)c(NC=O)c1
6085,Cc1ccc(NS(=O)(=O)c2ccc(Br)s2)cc1
6088,O=C([O-])NC12CC3CC(CC(C3)C1)C2
6130,O=C(O)Nc1nc2ccc(-c3ccc4c(c3)OCCO4)cc2s1
6142,N#Cc1cc2ccccc2nc1Nc1ccsc1
6151,O=CNc1nc2ccc(Br)cc2s1
6172,O=S(=O)(N(c1ccc(Cl)nc1)c1ncnc2nc[nH]c12)C(F)(F)F
6178,O=[N+]([O-])c1ccc(N(c2nnn[nH]2)c2ccccc2[N+](=O)[O-])cc1
6184,Cc1nnc(Nc2ccc([N+](=O)[O-])cc2)s1
6193,O=[N+]([O-])c1ccc(N(Cc2ccc(Cl)cc2)c2ccccc2-c2ccccc2)cc1
6199,O=[N+]([O-])c1ccc(Nn2cnnc2)cc1
6208,Nc1ccc(Nc2ncccn2)nc1
6214,O=[N+]([O-])c1ccc(Nc2nn[nH]n2)cc1
6217,CNCCNc1nc2ccccc2cc1C#N
6220,NCc1ccc(N(c2ccc(F)cc2)c2ncccn2)nc1
6256,N#Cc1ccc(CNc2ccc(CN)cn2)cc1
6319,N#Cc1ccc(CNc2cc3ccccc3o2)cc1
6349,O=S(=O)(c1cccc(-c2cnc3ccccc3c2)c1)N(CC1CCCO1)c1ncccn1
6355,CC(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1
6376,c1cnc(Nc2ccsc2)nc1
6385,O=[N+]([O-])c1ccc(NC23CC4CC(CC(C4)C2)C3)cc1
6397,N#Cc1c(Nc2ccc([N+](=O)[O-])cc2)cc(N)nc1C=Cc1ccccc1
6406,Clc1ccc(Nc2ncccn2)cn1
6412,c1nc(NC23CC4CC(CC(C4)C2)C3)c2[nH]cnc2n1
6415,c1cnc(Nc2cnc3ccccc3n2)nc1
6448,Cc1ccc(N(Cc2ccc(Nc3ncn[nH]3)nc2)c2ccccc2C#N)cc1
6499,O=[N+]([O-])c1ccc(Nc2n[nH]c3ccccc23)cc1
6520,O=[N+]([O-])c1ccc(N(CCc2ccccc2)c2cccc3ccccc23)cc1
6529,O=[N+]([O-])c1ccc(NCc2ccc(N3CCNC3)nc2)cc1
6538,NCc1ccc(Nc2ncccn2)nc1
6547,Fc1ccc(Nc2ncccn2)cc1
6553,O=[N+]([O-])c1ccc(Nc2ccc3cn[nH]c3c2)cc1
6556,COc1cccc(Nc2ncccn2)c1
6562,Cc1noc(C)c1Nc1ncn[nH]1
6574,O=[N+]([O-])c1ccc(N(c2ccc(F)cc2)c2nc3ccccc3s2)cc1
6595,Cc1noc(C)c1Nc1ncccn1
6661,BrCc1ccccc1Nc1ncccn1
6667,NCc1ccc(N(c2ccc3c(c2)OCO3)c2ncn[nH]2)nc1
6685,Clc1ccc(CNc2ncnc3nc[nH]c23)cn1
6694,FC(F)(F)Oc1ccc(Nc2ncccn2)cc1
6712,O=[N+]([O-])c1ccc(Nn2c(-c3ccncc3)n[nH]c2=S)cc1
6742,COc1ccc(N(c2ccc([N+](=O)[O-])cc2)c2ccc(F)nc2)c(OC)c1
